nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0000056,Paul Newman,1925,2008,"actor,producer,director","tt0110684,tt0257044,tt0054997,tt0084855"
nm0000057,David Niven,1910,1983,"actor,producer,soundtrack","tt0057413,tt0048960,tt0074937,tt0052182"
nm0000058,Maureen O'Hara,1920,2015,"actress,soundtrack","tt0039628,tt0045061,tt0055277,tt0102598"
nm0000059,Laurence Olivier,1907,1989,"actor,producer,director","tt0069281,tt0032976,tt0077269,tt0074860"
nm0000060,Gregory Peck,1916,2003,"actor,producer,soundtrack","tt0056592,tt0077269,tt0046250,tt0038109"
nm0000061,Tyrone Power,1914,1958,"actor,soundtrack,producer","tt0043959,tt0034405,tt0042256,tt0051201"
nm0000062,Elvis Presley,1935,1977,"music_artist,soundtrack,actor","tt0056585,tt0054692,tt0053848,tt0056023"
nm0000063,Anthony Quinn,1915,2001,"actor,producer,soundtrack","tt0056172,tt0057831,tt0064952,tt0049456"
nm0000064,Edward G. Robinson,1893,1973,"actor,soundtrack,writer","tt0040506,tt0038991,tt0036775,tt0021079"
nm0000066,Jane Russell,1921,2011,"actress,soundtrack,producer","tt0043643,tt0040679,tt0043476,tt0045810"
nm0000068,Randolph Scott,1898,1987,"actor,producer,soundtrack","tt0026942,tt0056412,tt0051047,tt0046375"
nm0000069,Frank Sinatra,1915,1998,"music_artist,soundtrack,actor","tt0045793,tt0048347,tt0052218,tt0056218"
nm0000071,James Stewart,1908,1997,"actor,soundtrack,director","tt0038650,tt0052561,tt0052357,tt0032904"
nm0000072,Elizabeth Taylor,1932,2011,"actress,soundtrack,producer","tt0053318,tt0061407,tt0051459,tt0061184"
nm0000073,Shirley Temple,1928,2014,"actress,soundtrack,writer","tt0016029,tt0031580,tt0028118,tt0030657"
nm0000074,Gene Tierney,1920,1991,"actress,soundtrack","tt0039420,tt0037008,tt0035979,tt0037865"
nm0000075,Spencer Tracy,1900,1967,"actor,soundtrack","tt0047849,tt0053946,tt0055031,tt0061735"
nm0000078,John Wayne,1907,1979,"actor,producer,soundtrack","tt0056217,tt0057298,tt0065126,tt0053580"
nm0000079,Raquel Welch,1940,2023,"actress,soundtrack,producer","tt0061653,tt0066115,tt0068675,tt0072281"
nm0000080,Orson Welles,1915,1985,"actor,director,writer","tt0057427,tt0052311,tt0040525,tt0033467"
nm0000081,Natalie Wood,1938,1981,"actress,soundtrack,music_department","tt0048545,tt0055471,tt0055614,tt0057263"
nm0000084,Gong Li,1965,\N,"actress,producer,miscellaneous","tt0473444,tt0101640,tt0397535,tt0430357"
nm0000086,Louis de Fun̬s,1914,1983,"actor,writer,director","tt0079200,tt0064425,tt0069747,tt0074103"
nm0000087,Elena Koreneva,1953,\N,"actress,casting_director,soundtrack","tt0123138,tt5847740,tt7529350,tt0122969"
nm0000089,Richard Paul,1940,1998,"actor,soundtrack","tt0086765,tt0088529,tt0117318,tt0075489"
nm0000090,Armin Mueller-Stahl,1930,\N,"actor,director,writer","tt0117631,tt0963178,tt0765443,tt0139809"
nm0000091,G̩rard Pir̬s,1942,\N,"director,writer,actor","tt0064297,tt0152930,tt0282552,tt0421974"
nm0000092,John Cleese,1939,\N,"actor,writer,producer","tt0063929,tt0071853,tt0085959,tt0095159"
nm0000093,Brad Pitt,1963,\N,"producer,actor,soundtrack","tt0356910,tt0114746,tt2935510,tt1210166"
nm0000095,Woody Allen,1935,\N,"writer,director,actor","tt0091167,tt0118954,tt0075686,tt0079522"
nm0000096,Gillian Anderson,1968,\N,"actress,producer,soundtrack","tt0106179,tt2294189,tt0442632,tt0455590"
nm0000097,Pamela Anderson,1967,\N,"actress,producer,director","tt0893509,tt0115624,tt0306047,tt0426592"
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt3442006,tt0279113,tt0108778,tt1723121"
nm0000099,Patricia Arquette,1968,\N,"actress,producer,director","tt0108399,tt1065073,tt0412175,tt0145531"
nm0000100,Rowan Atkinson,1955,\N,"actor,writer,soundtrack","tt1634122,tt0110357,tt0118689,tt0274166"
nm0000101,Dan Aykroyd,1952,\N,"writer,actor,producer","tt0087332,tt0102558,tt0080455,tt0118747"
nm0000102,Kevin Bacon,1958,\N,"actor,producer,soundtrack","tt0361127,tt0164052,tt0327056,tt0087277"
nm0000103,Fairuza Balk,1974,\N,"actress,soundtrack","tt0089908,tt0115963,tt0181875,tt0120586"
nm0000104,Antonio Banderas,1960,\N,"actor,soundtrack,producer","tt0120657,tt0112851,tt0120746,tt1189073"
nm0000105,Adrienne Barbeau,1945,\N,"actress,soundtrack","tt0090685,tt0083767,tt0080749,tt0082340"
nm0000106,Drew Barrymore,1975,\N,"producer,actress,soundtrack","tt0343660,tt0151738,tt0120631,tt0160127"
nm0000107,Kim Basinger,1953,\N,"actress,soundtrack,producer","tt0108525,tt0337921,tt0119488,tt0096895"
nm0000109,Yasmine Bleeth,1968,\N,actress,"tt0096542,tt0115285,tt0131857,tt0337851"
nm0000110,Kenneth Branagh,1960,\N,"actor,producer,director","tt3402236,tt0107616,tt0116477,tt0097499"
nm0000111,Matthew Broderick,1962,\N,"actor,soundtrack,director","tt0395251,tt0115798,tt0091042,tt0086567"
nm0000112,Pierce Brosnan,1953,\N,"actor,producer,soundtrack","tt0120347,tt0795421,tt0155267,tt0143145"
nm0000113,Sandra Bullock,1964,\N,"producer,actress,soundtrack","tt1454468,tt0111257,tt0212346,tt1041829"
nm0000114,Steve Buscemi,1957,\N,"actor,director,producer","tt4686844,tt0105236,tt0116282,tt0162346"
nm0000115,Nicolas Cage,1964,\N,"actor,producer,soundtrack","tt0435705,tt0117500,tt0119094,tt0113627"
nm0000117,Neve Campbell,1973,\N,"actress,producer,soundtrack","tt0120082,tt0134084,tt0120890,tt0117571"
nm0000119,Tia Carrere,\N,\N,"actress,soundtrack,producer","tt0105793,tt0111503,tt0207919,tt0275847"
nm0000120,Jim Carrey,1962,\N,"actor,writer,soundtrack","tt0109040,tt0110475,tt0120382,tt0338013"
nm0000121,Phoebe Cates,1963,\N,"actress,soundtrack","tt0083929,tt0086143,tt0087363,tt0101775"
nm0000122,Charles Chaplin,1889,1977,"soundtrack,writer,actor","tt0044837,tt0032553,tt0027977,tt0021749"
nm0000123,George Clooney,1961,\N,"actor,producer,director","tt1193138,tt1124035,tt0433383,tt0465538"
nm0000124,Jennifer Connelly,1970,\N,"actress,producer","tt0268978,tt0102803,tt0180093,tt0315983"
nm0000125,Sean Connery,1930,2020,"actor,producer,soundtrack","tt0055928,tt0091605,tt0094226,tt0117500"
nm0000126,Kevin Costner,1955,\N,"actor,producer,soundtrack","tt0103855,tt0102798,tt0119925,tt0099348"
nm0000128,Russell Crowe,1964,\N,"actor,soundtrack,producer","tt0268978,tt1707386,tt0119488,tt0172495"
nm0000129,Tom Cruise,1962,\N,"actor,producer,soundtrack","tt0116695,tt0092099,tt0325710,tt0120755"
nm0000130,Jamie Lee Curtis,1958,\N,"actress,producer,director","tt0111503,tt0120694,tt1502407,tt6710474"
nm0000131,John Cusack,1966,\N,"actor,producer,writer","tt0098258,tt0146882,tt0119229,tt0450385"
nm0000132,Claire Danes,1979,\N,"actress,producer,soundtrack","tt0274558,tt0117509,tt1796960,tt0108872"
nm0000133,Geena Davis,1956,\N,"actress,producer,soundtrack","tt0104694,tt0103074,tt0091064,tt0116908"
nm0000134,Robert De Niro,1943,\N,"actor,producer,soundtrack","tt0075314,tt0077416,tt0081398,tt0101540"
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0367594,tt0449088,tt0408236,tt0325980"
nm0000137,Bo Derek,1956,\N,"actress,producer,camera_department","tt0083170,tt0086987,tt0114694,tt0099656"
nm0000138,Leonardo DiCaprio,1974,\N,"producer,actor,soundtrack","tt0407887,tt0338751,tt0120338,tt1375666"
nm0000139,Cameron Diaz,1972,\N,"actress,producer,soundtrack","tt0129387,tt0160127,tt0119738,tt0259711"
nm0000140,Michael Douglas,1944,\N,"actor,producer,soundtrack","tt0093010,tt0094291,tt0181865,tt1291580"
nm0000141,David Duchovny,1960,\N,"actor,producer,director","tt0443701,tt0106179,tt0904208,tt0120902"
nm0000142,Clint Eastwood,1930,\N,"actor,producer,director","tt0112579,tt1205489,tt0405159,tt0105695"
nm0000143,Erika Eleniak,1969,\N,actress,"tt0105690,tt0106400,tt0083866,tt0094761"
nm0000144,Cary Elwes,1962,\N,"actor,producer,soundtrack","tt0093779,tt0107977,tt0119468,tt0387564"
nm0000145,Sherilyn Fenn,1965,\N,"actress,soundtrack","tt0098936,tt0106471,tt0105046,tt0100935"
nm0000146,Ralph Fiennes,1962,\N,"actor,director,producer","tt2278388,tt0108052,tt0387131,tt1372686"
nm0000147,Colin Firth,1960,\N,"actor,producer,soundtrack","tt0243155,tt1504320,tt2802144,tt1315981"
nm0000148,Harrison Ford,1942,\N,"actor,writer,producer","tt0076759,tt0082971,tt0118571,tt0106977"
nm0000149,Jodie Foster,1962,\N,"actress,director,producer","tt0102926,tt0094608,tt0075314,tt0476964"
nm0000150,Michael J. Fox,1961,\N,"actor,producer,miscellaneous","tt0088763,tt0115369,tt0116365,tt0096874"
nm0000151,Morgan Freeman,1937,\N,"actor,producer,soundtrack","tt1057500,tt0097239,tt0114369,tt0405159"
nm0000152,Richard Gere,1949,\N,"actor,soundtrack,producer","tt0299658,tt0119395,tt0100405,tt0084434"
nm0000153,Gina Gershon,1962,\N,"actress,soundtrack,producer","tt0114436,tt1726669,tt0119094,tt0115736"
nm0000154,Mel Gibson,1956,\N,"actor,producer,director","tt0112573,tt0104714,tt0118883,tt0117438"
nm0000155,Whoopi Goldberg,1955,\N,"actress,producer,writer","tt0099653,tt0105417,tt0108147,tt0088939"
nm0000156,Jeff Goldblum,1952,\N,"actor,soundtrack,producer","tt0091064,tt2278388,tt0107290,tt0116629"
nm0000157,Linda Hamilton,1956,\N,"actress,soundtrack","tt0088247,tt6450804,tt0118928,tt0103064"
nm0000158,Tom Hanks,1956,\N,"producer,actor,soundtrack","tt0109830,tt0120815,tt0094737,tt0162222"
nm0000159,Teri Hatcher,1964,\N,"actress,soundtrack,writer","tt0410975,tt0227538,tt0106057,tt0120347"
nm0000160,Ethan Hawke,1970,\N,"actor,producer,writer","tt0139654,tt0112471,tt2209418,tt0381681"
nm0000161,Salma Hayek,1966,\N,"actress,producer,soundtrack","tt1615065,tt0120891,tt0112851,tt0120679"
nm0000162,Anne Heche,1969,2022,"actress,producer,writer","tt0120885,tt0119008,tt0120461,tt0120828"
nm0000163,Dustin Hoffman,1937,\N,"actor,soundtrack,producer","tt0079417,tt0084805,tt0095953,tt0064665"
nm0000164,Anthony Hopkins,1937,\N,"actor,soundtrack,composer","tt0975645,tt0113987,tt0102926,tt0212985"
nm0000165,Ron Howard,1954,\N,"producer,actor,writer","tt0112384,tt0367279,tt0268978,tt0870111"
nm0000166,Helen Hunt,1963,\N,"actress,producer,director","tt0119822,tt0162222,tt0117998,tt0103484"
nm0000167,Elizabeth Hurley,1965,\N,"actress,producer","tt0230030,tt0145660,tt0105104,tt0118655"
nm0000168,Samuel L. Jackson,1948,\N,"actor,producer,soundtrack","tt0417148,tt4154664,tt0110912,tt3460252"
nm0000169,Tommy Lee Jones,1946,\N,"actor,director,soundtrack","tt0477348,tt2398231,tt0443272,tt0106977"
nm0000170,Milla Jovovich,1975,\N,"actress,soundtrack,producer","tt0120804,tt0119116,tt1220634,tt1220198"
nm0000171,Ashley Judd,1968,\N,"actress,producer,director","tt0119468,tt0470705,tt0150377,tt0113277"
nm0000172,Harvey Keitel,1939,\N,"actor,producer,soundtrack","tt0105236,tt0110912,tt0103759,tt2278388"
nm0000173,Nicole Kidman,1967,\N,"actress,producer,soundtrack","tt0203009,tt0159365,tt0274558,tt0935075"
nm0000174,Val Kilmer,1959,\N,"actor,soundtrack,producer","tt0120053,tt0373469,tt0101761,tt0113277"
nm0000175,Stephen King,1947,\N,"writer,producer,actor","tt0111161,tt0083767,tt0091499,tt0324864"
nm0000176,Nastassja Kinski,1961,\N,"actress,producer,soundtrack","tt0087884,tt0083722,tt0080009,tt0111400"
nm0000177,Kevin Kline,1947,\N,"actor,soundtrack,director","tt0095159,tt0120891,tt0106673,tt0113117"
nm0000178,Diane Lane,1965,\N,"actress,soundtrack","tt2096673,tt0250797,tt0086066,tt0328589"
nm0000179,Jude Law,1972,\N,"actor,producer,soundtrack","tt0134119,tt2278388,tt0376541,tt0346156"
nm0000181,Heather Locklear,1961,\N,"actress,producer,soundtrack","tt0380623,tt0103491,tt0119695,tt0098193"
nm0000182,Jennifer Lopez,1969,\N,"music_artist,producer,actress","tt5503686,tt2126357,tt0252076,tt0120780"
nm0000183,Traci Lords,1968,\N,"actress,soundtrack,producer","tt1984153,tt0099329,tt1007028,tt0120611"
nm0000185,Dolph Lundgren,1957,\N,"actor,producer,director","tt0093507,tt0113481,tt0105698,tt0089927"
nm0000187,Madonna,1958,\N,"music_artist,soundtrack,actress","tt0104694,tt0246460,tt0116250,tt0156841"
nm0000188,Steve Martin,1945,\N,"writer,actor,producer","tt0102250,tt0383216,tt0093886,tt0079367"
nm0000189,Jenny McCarthy-Wahlberg,1972,\N,"actress,producer,writer","tt0131857,tt0327643,tt0134084,tt0455967"
nm0000190,Matthew McConaughey,1969,\N,"actor,producer,soundtrack","tt1915581,tt0816692,tt0790636,tt1935179"
nm0000191,Ewan McGregor,1971,\N,"actor,producer,writer","tt0203009,tt0117951,tt2763304,tt1322269"
nm0000192,Alyssa Milano,1972,\N,"actress,producer,soundtrack","tt0086827,tt0088944,tt0116287,tt0158552"
nm0000193,Demi Moore,1962,\N,"actress,producer,soundtrack","tt0119173,tt0305357,tt0099653,tt0107211"
nm0000194,Julianne Moore,1960,\N,"actress,producer,soundtrack","tt0297884,tt0842926,tt0118749,tt0175880"
nm0000195,Bill Murray,1950,\N,"actor,soundtrack,writer","tt0128445,tt0362270,tt0335266,tt1748122"
nm0000196,Mike Myers,1963,\N,"actor,writer,soundtrack","tt0118655,tt0145660,tt0295178,tt0811138"
nm0000197,Jack Nicholson,1937,\N,"actor,soundtrack,producer","tt0407887,tt0073486,tt0119822,tt0071315"
nm0000198,Gary Oldman,1958,\N,"actor,producer,soundtrack","tt1340800,tt4555426,tt0468569,tt0103874"
nm0000199,Al Pacino,1940,\N,"actor,director,soundtrack","tt0099422,tt0070666,tt0068646,tt0072890"
nm0000200,Bill Paxton,1955,2017,"actor,producer,writer","tt0117998,tt0090605,tt0112384,tt0264616"
nm0000201,Michelle Pfeiffer,1958,\N,"actress,soundtrack,producer","tt0427327,tt0106226,tt0117247,tt0161081"
nm0000202,Ryan Phillippe,1974,\N,"actor,producer,director","tt0120577,tt0139134,tt0280707,tt0375679"
nm0000203,River Phoenix,1970,1993,"actor,soundtrack","tt0091557,tt0092005,tt0096018,tt0102494"
nm0000204,Natalie Portman,1981,\N,"actress,producer,soundtrack","tt0376541,tt0434409,tt0110413,tt0947798"
nm0000205,Parker Posey,1968,\N,"actress,producer,soundtrack","tt0348150,tt0134084,tt0106677,tt0359013"
nm0000206,Keanu Reeves,1964,\N,"actor,producer,soundtrack","tt0234215,tt0102685,tt0133093,tt0111257"
nm0000207,Christina Ricci,1980,\N,"actress,producer,soundtrack","tt0462200,tt0118789,tt0112642,tt0811080"
nm0000208,Molly Ringwald,1968,\N,"actress,soundtrack,music_department","tt0088847,tt0088128,tt0095169,tt0091790"
nm0000209,Tim Robbins,1958,\N,"actor,producer,director","tt0091225,tt0327056,tt0105151,tt0094812"
nm0000210,Julia Roberts,1967,\N,"actress,producer,soundtrack","tt0195685,tt0376541,tt0100405,tt0119738"
nm0000211,Mimi Rogers,1956,\N,"actress,producer,soundtrack","tt0118655,tt0120738,tt0210070,tt0488085"
nm0000212,Meg Ryan,1961,\N,"actress,producer,director","tt0120632,tt0098635,tt0108160,tt0128853"
nm0000213,Winona Ryder,1971,\N,"actress,producer,soundtrack","tt0110367,tt0100140,tt0099487,tt0172493"
nm0000214,Mia Sara,1967,\N,"actress,soundtrack","tt0111438,tt0091042,tt0089469,tt0312098"
nm0000215,Susan Sarandon,1946,\N,"actress,producer,soundtrack","tt0103074,tt0109446,tt0120686,tt0112818"
nm0000216,Arnold Schwarzenegger,1947,\N,"actor,producer,director","tt0216216,tt0103064,tt0107362,tt0088247"
nm0000217,Martin Scorsese,1942,\N,"producer,director,actor","tt0075314,tt0099685,tt0070379,tt0490215"
nm0000218,Kristin Scott Thomas,1960,\N,"actress,soundtrack,director","tt0116209,tt1602613,tt0280707,tt0109831"
nm0000219,Steven Seagal,1952,\N,"actor,producer,writer","tt0094602,tt0114781,tt0110725,tt0105690"
nm0000220,Joan Severance,1958,\N,"actress,producer,miscellaneous","tt0099141,tt0098282,tt0143050,tt0112519"
nm0000221,Charlie Sheen,1965,\N,"actor,producer,soundtrack","tt0094291,tt0369179,tt0107144,tt0108333"
nm0000222,Brooke Shields,1965,\N,"actress,producer,soundtrack","tt0078111,tt0080116,tt0805570,tt0080453"
nm0000223,Elisabeth Shue,1963,\N,"actress,producer,soundtrack","tt0120053,tt0113627,tt0087538,tt0092513"
nm0000224,Alicia Silverstone,1976,\N,"actress,producer,soundtrack","tt0112697,tt0124298,tt0119086,tt0118688"
nm0000225,Christian Slater,1969,\N,"actor,producer,soundtrack","tt0102798,tt0108399,tt0124198,tt0115759"
nm0000226,Will Smith,1968,\N,"producer,actor,soundtrack","tt0480249,tt0098800,tt0119654,tt0116629"
nm0000227,Mira Sorvino,1967,\N,"actress,producer,soundtrack","tt0120008,tt0113819,tt0120032,tt0364343"
nm0000228,Kevin Spacey,1959,\N,"actor,producer,soundtrack","tt0119488,tt0114814,tt0114369,tt0169547"
nm0000230,Sylvester Stallone,1946,\N,"actor,writer,producer","tt0084602,tt0075148,tt3076658,tt0089927"
nm0000232,Sharon Stone,1958,\N,"actress,producer,soundtrack","tt0114214,tt0112641,tt0108162,tt0103772"
nm0000233,Quentin Tarantino,1963,\N,"writer,actor,producer","tt0110912,tt0105236,tt7131622,tt3460252"
nm0000234,Charlize Theron,1975,\N,"producer,actress,soundtrack","tt1392190,tt5610554,tt0340855,tt1735898"
nm0000235,Uma Thurman,1970,\N,"actress,producer,soundtrack","tt0378194,tt0118688,tt0266697,tt0110912"
nm0000236,Jennifer Tilly,1958,\N,"actress,soundtrack,writer","tt0109348,tt0387575,tt0144120,tt0115736"
nm0000237,John Travolta,1954,\N,"actor,soundtrack,producer","tt0110912,tt0076666,tt0077631,tt0113161"
nm0000238,Shannon Tweed,1957,\N,"actress,producer,miscellaneous","tt0165710,tt0112942,tt0110675,tt0094834"
nm0000239,Liv Tyler,1977,\N,"actress,producer,soundtrack","tt0120591,tt0120737,tt0482606,tt0167260"
nm0000240,Skeet Ulrich,1970,\N,"actor,soundtrack,director","tt0409572,tt0115963,tt0117571,tt0913354"
nm0000241,Jean-Claude Van Damme,1960,\N,"actor,writer,producer","tt0097659,tt0101764,tt0119013,tt1130988"
nm0000242,Mark Wahlberg,1971,\N,"producer,actor,soundtrack","tt1637725,tt0964517,tt0118749,tt0407887"
nm0000243,Denzel Washington,1954,\N,"actor,producer,director","tt1037705,tt0168786,tt0139654,tt2671706"
nm0000244,Sigourney Weaver,1949,\N,"actress,producer,soundtrack","tt0499549,tt0078748,tt0095243,tt0118583"
nm0000245,Robin Williams,1951,2014,"actor,soundtrack,writer","tt0093105,tt0265459,tt0119217,tt0107614"
nm0000246,Bruce Willis,1955,\N,"actor,producer,soundtrack","tt0095016,tt0167404,tt0110912,tt0088571"
nm0000248,Edward D. Wood Jr.,1924,1978,"writer,director,actor","tt0052077,tt0047127,tt0045826,tt0067479"
nm0000249,James Woods,1947,\N,"actor,producer,director","tt0119282,tt0086541,tt0159097,tt0120877"
nm0000250,Ren̩e Zellweger,1969,\N,"actress,producer,soundtrack","tt0116695,tt0243155,tt0159365,tt0299658"
nm0000251,Timothy Dowling,1973,\N,"actor,writer,script_department","tt1596350,tt0430922,tt0181852,tt2120120"
nm0000252,Robert Ellis,1892,1974,"actor,director,writer","tt0006213,tt0032595,tt0030778,tt0010781"
nm0000254,Isabelle Adjani,1955,\N,"actress,soundtrack,producer","tt0094828,tt0082933,tt0079641,tt0073114"
nm0000255,Ben Affleck,1972,\N,"producer,actor,writer","tt0119217,tt0840361,tt1024648,tt2267998"
nm0000256,Jenny Agutter,1952,\N,"actress,soundtrack","tt0067959,tt0848228,tt0082010,tt0074812"
nm0000257,Alan Alda,1936,\N,"actor,miscellaneous,soundtrack","tt0068098,tt0097123,tt0082405,tt7653254"
nm0000258,Stephanie Zimbalist,1956,\N,"actress,writer","tt0076993,tt0080402,tt2224219,tt0083470"
nm0000259,Ginger Lynn,1962,\N,"actress,director,writer","tt0087562,tt0134898,tt0210365,tt0395584"
nm0000260,Joan Allen,1956,\N,"actress,producer,soundtrack","tt0113987,tt0115988,tt0452608,tt3170832"
nm0000261,Karen Allen,1951,\N,"actress,soundtrack,director","tt0367882,tt0082971,tt0077975,tt0088172"
nm0000262,Nancy Allen,1950,\N,"actress,soundtrack","tt0080661,tt0093870,tt0100502,tt0107978"
nm0000263,Kirstie Alley,1951,2022,"actress,producer,writer","tt0157503,tt0084726,tt0097778,tt0114852"
nm0000266,Ursula Andress,1936,\N,"actress,soundtrack","tt0060177,tt0061452,tt0055928,tt0082186"
nm0000267,Julie Andrews,1935,\N,"actress,soundtrack,writer","tt0059742,tt0084865,tt0062362,tt0058331"
nm0000268,Ann-Margret,1941,\N,"actress,soundtrack","tt0107050,tt0066892,tt0056891,tt0060646"
nm0000270,Gabrielle Anwar,1970,\N,"actress,producer,soundtrack","tt0105323,tt0114660,tt0108333,tt0810788"
nm0000271,Anne Archer,1947,\N,"actress,producer,soundtrack","tt0105112,tt0093010,tt0160009,tt0108122"
nm0000272,Fanny Ardant,1949,\N,"actress,director,writer","tt0283832,tt0086551,tt0401711,tt0127536"
nm0000273,Alan Arkin,1934,2023,"actor,soundtrack,director","tt0099487,tt1024648,tt0449059,tt0104348"
nm0000274,David Arquette,1971,\N,"producer,actor,director","tt0134084,tt0271367,tt0151738,tt0120082"
nm0000275,Rosanna Arquette,1959,\N,"actress,producer,director","tt0088680,tt0089017,tt0110912,tt0190138"
nm0000276,Sean Astin,1971,\N,"actor,producer,director","tt0120737,tt0089218,tt0167260,tt0167261"
